Id,Nivel,Grado,Campos,Componentes,Organizador1,Organizador2,ApEs,Apes_Detalle,Escala_Sugerida,Indicador1,Indicador2,Indicador3,Indicador4,Observaciones,Activo
11,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos,"Selecciona textos para escuchar su lectura.
",Participa en el cuidado de los materiales de lectura y en la organización de los acervos.,"Frecuentemente, poco, nunca",Participa en el cuidado de los materiales de lectura.,Participa en la organización de los acervos.,,,NADA,1
12,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
","Elige un fenómeno natural o social de su contexto próximo, que le interese; por ejemplo, relacionado con el clima, la geografía de su comunidad, sus tradiciones o costumbres.","si, no, muy frecuentemente",Elige un fenómeno natural de su contexto próximo que es de su interés.,Elige un fenómeno social de su contexto próximo que es de su interés.,,,NADA,1
13,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
",Narra el fenómeno elegido para escribirlo con ayuda del docente.,"Frecuentemente, poco, nunca",Narra el fenómenos que eligió para pasarlo en escrito con ayuda del docente.,Narra el fenómenos que eligió para pasarlo en escrito sin ayuda del docente.,,,NADA,1
14,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
",Participa en la escritura colectiva por medio del dictado de sus ideas al profesor.,"Frecuentemente, poco, nunca","Participa en escrituras colectivas, lo hace por medio del dictado de sus ideas a sus maestros.",,,,NADA,1
15,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
",Espera su turno para hablar.,Lo logra / En ocasiones lo logra / No lo logra,Espera su turno para hablar.,Levanta la mano para participar en clase.,Espera a que la maestra mencione su nombre para participar.,,NADA,1
16,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
",Revisa colectivamente los textos de su coautoría y los corrige con ayuda del educador,Lo logra / En ocasiones lo logra / No lo logra,Presta atención a la coherencia del texto y a las expresiones comunes del tipo de texto,Presta atención a las expresiones comunes del tipo de texto.,Identifica reiteraciones y faltas de concordancia de género.,Identifica reiteraciones y faltas de concordancia de número.,NADA,1
17,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
","Reflexiona con sus compa~neros, con el apoyo del docente, sobre las diferencias entre el discurso oral y el texto escrito.","si, no, muy frecuentemente",Reflexiona con sus compa~neros y con el apoyo del deocente sore el discurso oral ,Reflexiona con sus compa~neros y con el apoyo del deocente sore el texto escrito.,Reflexiona con sus compa~neros y con el apoyo del deocente las diferencias entre el discurso oral y el texto escrito.,,NADA,1
18,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,"
Elaboración de textos que presentan información resumida proveniente de diversas de fuentes","Dicta notas breves sobre un fenómeno de su interés.
",Reconoce el valor sonoro de las letras al escribir o dictar palabras y oraciones.,Lo logra / En ocasiones lo logra / No lo logra,Reconoce el valor sonoro de las letras al escribir. ,Reconoce el valor sonoro de las letras al dictar palabras. ,Reconoce el valor sonoro de las letras al hacer oraciones. ,,NADA,1
19,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ","Explora diferentes carteles e identifica algunas de sus características: imagen que contiene un significado o mensaje, textos breves.",Lo logra / En ocasiones lo logra / No lo logra,Explora diferentes carteles e identifica alguna de sus características.,Explora diferentes carteles e identifica la imagen que contienen un significado.,Explora diferentes carteles e identifica la imagen que contienen un mensaje.,Explora diferentes carteles e identifica la imagen que contienen textos breves.,NADA,1
20,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ","Reflexiona sobre la función de los carteles: convocar, invitar, difundir, promover.","si, no, muy frecuentemente",Refelxiona sobre la función de convocar en los carteles.,Refelxiona sobre la función de invitar en los carteles.,Refelxiona sobre la función de difundir en los carteles.,Refelxiona sobre la función de promover en los carteles.,NADA,1
21,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ",Recopila información sobre un tema relacionado con su entorno natural o social.,"Frecuentemente, poco, nunca",Recopila infromación sobre un tema relacionado con su entorno natural.,Recopila infromación sobre un tema relacionado con su entorno social.,,,NADA,1
22,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ","Escribe, de acuerdo con sus posibilidades, un texto que integre la información recopilada.","Frecuentemente, poco, nunca",Escribe un texto que integre la infromación que recopila de un texto.,,,,NADA,1
23,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ","Utiliza una secuencia de letras (o intento de ellas) ordenadas linealmente, en palabras y oraciones.",Lo logra / En ocasiones lo logra / No lo logra,Utiliza una secuencia de letras ordenadas linealmente en palabras.,Utiliza una secuencia de letras ordenadas linealmente en oraciones,,,NADA,1
24,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias y nuevos conocimientos,"Presenta una exposición sobre algún aspecto de su entorno natural o social.


      ","Revisa el texto con ayuda de alguien más  

 ",Lo logra / En ocasiones lo logra / No lo logra,Reflexiona sobre cuántas letras y cuáles son pertinentes para escribir palabras o frases;,Utiliza palabras conocidas como referente para escribir palabras nuevas;,Establece correspondencias cada vez más precisas entre partes del discurso oral y partes de lo escrito;,"Descubre, a lo largo del grado, el valor sonoro convencional de las letras y comienza a utilizarlo como criterio para organizar su escritura hasta llegar a la escritura alfabética.",NADA,1
25,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos,"Escribe textos sencillos para describir personas, animales, plantas u objetos de su entorno.
","Elige, a partir de sus gustos e intereses personales, una persona, animal, planta u objeto de su entorno.","Frecuentemente, poco, nunca","Elige, a partir de sus gustos e intereses personales , una persona de su entorno.","Elige, a partir de sus gustos e intereses personales , un animal de su entorno.","Elige, a partir de sus gustos e intereses personales , una planta de su entorno.","Elige, a partir de sus gustos e intereses personales , un objeto de su entorno.",NADA,1
26,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos,"Escribe textos sencillos para describir personas, animales, plantas u objetos de su entorno.
","Observa y describe las características principales de la persona, animal, planta u objeto de su entorno selecionado.","si, no, muy frecuentemente",Observa y describe las características principales de una persona de su entorno seleccionado.,Observa y describe las características principales de un animal de su entorno seleccionado.,Observa y describe las características principales de una planta de su entorno seleccionado.,Observa y describe las características principales de un objeto de su entorno seleccionado.,NADA,1
27,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos,"Escribe textos sencillos para describir personas, animales, plantas u objetos de su entorno.
","Escribe el texto, de acuerdo con sus posibilidades.",Lo logra / En ocasiones lo logra / No lo logra,"Escribe un texto, de acuerdo a sus posibilidades.",,,,NADA,1
28,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos,"Escribe textos sencillos para describir personas, animales, plantas u objetos de su entorno.
","Utiliza una secuencia de letras (o intento de ellas) ordenadas linealmente, en palabras y oraciones.","si, no, muy frecuentemente",Utiliza una secuencia de letras ordenadas linealmente en palabras.,Utiliza una secuencia de letras ordenadas linealmente en oraciones,,,NADA,1
29,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos,"Escribe textos sencillos para describir personas, animales, plantas u objetos de su entorno.
",Revisa y corrige el texto con ayuda de alguien más. ,Lo logra / En ocasiones lo logra / No lo logra,Reflexiona sobre cuántas letras y cuáles son pertinentes para escribir palabras o frases.,Utiliza palabras conocidas como referente para escribir palabras nuevas.,Establece correspondencias cada vez más precisas entre partes del discurso oral y partes de lo escrito.,"Descubre, a lo largo del grado, el valor sonoro convencional de las letras y lo comienza a utilizar como criterio para organizar su escritura hasta llegar a la escritura alfabética.",NADA,1
30,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.","Explora diversos tipos de cuentos e identifica las características de forma y contenido comunes a este tipo de textos para lectores iniciales, como formato e ilustraciones.","si, no, muy frecuentemente",Explora diversos tipos de cuentos.,"Identifica las características de forma y contenido comunes a este tipo de textos para lectores iniciales, como formato.","Identifica las características de forma y contenido comunes a este tipo de textos para lectores iniciales, como ilustraciones.",,NADA,1
31,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.","Anticipa el contenido de los cuentos a partir de la información que dan indicadores textuales como portada, contraportada, título.","Frecuentemente, poco, nunca",Anticipa el contenido de los cuentos a partir de la portada del libro.,Anticipa el contenido de los cuentos a partir de la contraportada del libro.,Anticipa el contenido de los cuentos a partir del título de un libro.,,NADA,1
32,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.","Utiliza las letras iniciales y finales como pistas para leer títulos, nombres de personajes y lugares centrales de la narración.","si, no, muy frecuentemente",Utiliza las letras iniciales y finales como pistas para leer títulos.,Utiliza las letras iniciales y finales como pistas para leer nombres de personajes.,Utiliza las letras iniciales y finales como pistas para leer nombres de lugares centrales de la narración.,,NADA,1
33,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.",Sigue con atención la lectura que hace el docente en voz alta.,Lo logra / En ocasiones lo logra / No lo logra,Sigue y pone atención a la lectura que hace el docente en voz alta.,,,,NADA,1
34,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.",Vincula lo que escucha con el texto leído.,"si, no, muy frecuentemente",Vincula lo escuchado con el texto que está leyendo.,,,,NADA,1
35,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.","Recupera, con ayuda del profesor, la trama de los cuentos leídos.",Lo logra / En ocasiones lo logra / No lo logra,Recupera la trama de los cuentos que lee.,,,,NADA,1
36,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.","Verifica las anticipaciones y predicciones hechas en la exploración del cuento, al terminar la lectura de este","si, no, muy frecuentemente","Verifica las anticipaciones hechas en la exploración del cuento, al terminar la lectura de este.","Verifica las predicciones hechas en la exploración del cuento, al terminar la lectura de este.",,,NADA,1
37,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,"Escucha la lectura de cuentos infantiles.
.",Expresa qué le gustó o desagradó de un cuento,"si, no, muy frecuentemente",Expresa qué le gustó de un cuento.,Expresa qué le desagradó de un cuento.,,,NADA,1
38,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`",Acuerda con su grupo qué cuento reescribirán.,"Frecuentemente, poco, nunca",Acuerda con su equipo de trabajo qué cuento eligirán para reescribirlo.,,,,NADA,1
39,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`",Reconstruye la historia oralmente para escribirla con ayuda del docente.,"Frecuentemente, poco, nunca",Reconstruye ~na historia oralmente.,Escribe la historia reconstruyendola oralmente.,,,NADA,1
40,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`",Participa en la escritura colectiva del cuento por medio del dictado al docente.,Lo logra / En ocasiones lo logra / No lo logra,Participa en la escritura que hacen en equipo por medio de dictado de la maestra.,,,,NADA,1
41,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`",Espera su turno para hablar.,Lo logra / En ocasiones lo logra / No lo logra,Espera con paciencia su turno para hablar.,,,,NADA,1
42,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`","Participa en la revisión y corrección del texto. 
","Frecuentemente, poco, nunca",Reflexiona sobre cuántas letras y cuáles son pertinentes para escribir palabras o frases.,Utiliza palabras conocidas como referente para escribir palabras nuevas,Establece correspondencias cada vez más precisas entre partes del discuso oral y partes de lo escrito.,"Descubre, a lo largo del grado, el valor sonoro convencional de las letras y comienza a utilizarlo como criterio para organizar su escritura hasta llegar a la escritura alfabética.",NADA,1
43,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,"Dicta y reescribe cuentos conocidos mezclando anécdotas y personajes, con imágenes y texto.
`","Reflexiona con sus compa~neros, con ayuda del profesor, sobre las diferencias entre el discurso oral y el texto escrito.","Frecuentemente, poco, nunca",Reflexiona con sus compa~neros sobre las diferencias entre el discurso oral y texto escrito.,Reflexiona con ayuda del profesor sobre las diferencias entre el discurso oral y texto escrito.,,,NADA,1
44,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura y escucha de poemas y canciones,"Canta, lee y reescribe canciones y rondas infantiles.
","Selecciona, de los acervos o de publicaciones provenientes de otros lugares, canciones y rondas infantiles de su preferencia para trabajar con ellas.",Lo logra / En ocasiones lo logra / No lo logra,Selecciona canciones infantiles de su preferencia para trabajar con ellas.,Selecciona rondas infantiles de su preferencia par trabajar con ellas.,,,NADA,1
45,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura y escucha de poemas y canciones,"Canta, lee y reescribe canciones y rondas infantiles.
","Sigue el texto impreso mientras el docente canta o lee las canciones o rondas infantiles seleccionadas; mientras lo hace, establece relaciones entre algunas partes orales con partes escritas.",Lo logra / En ocasiones lo logra / No lo logra,"Sigue el texto impreso mientras el docente canta canciones seleccionadas, mientras lo hace establece relaciones entre algunas partes orales con partes escritas.","Sigue el texto impreso mientras el docente lee canciones seleccionadas, mientras lo hace establece relaciones entre algunas partes orales con partes escritas.",,,NADA,1
46,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura y escucha de poemas y canciones,"Canta, lee y reescribe canciones y rondas infantiles.
","Escribe la canción o ronda seleccionada mientras el docente lee o canta, de acuerdo con sus posibilidades.",Lo logra / En ocasiones lo logra / No lo logra,Escribe la canción seleccionada mientras el docente lee y lo hace de acuerdo a sus posibilidades.,Escribe la ronda seleccionada mientras el docente lee y lo hace de acuerdo a sus posibilidades.,Escribe la canción seleccionada mientras el docente canta y lo hace de acuerdo a sus posibilidades.,Escribe la ronda seleccionada mientras el docente canta y lo hace de acuerdo a sus posibilidades.,NADA,1
47,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura y escucha de poemas y canciones,"Canta, lee y reescribe canciones y rondas infantiles.
","Utiliza una secuencia de letras (o intento de ellas) ordenadas linealmente, en palabras y oraciones.","Frecuentemente, poco, nunca",Utiliza una secuencia de letras o hace el intento de ellas ordenandolas linealmente en palabras.,Utiliza una secuencia de letras o hace el intento de ellas ordenandolas linealmente en oraciones.,,,NADA,1
48,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura y escucha de poemas y canciones,"Canta, lee y reescribe canciones y rondas infantiles.
","Revisa y corrige el texto con ayuda de alguien más, al hacerlo:   ","Frecuentemente, poco, nunca",Reflexiona sobre cuántas letras y cuáles son pertinentes para escribir palabras o frases.,Utiliza palabras conocidas como referente para escribir palabras nuevas,Establece correspondencias cada vez más precisas entre partes del discurso oral y partes de lo escrito.,"Descubre, a lo largo del grado, el valor sonoro convencional de las letras y lo comienza a utilizar como criterio para organizar su escritura hasta llegar a la escritura alfabética.",NADA,1
49,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
","Elige diversas rondas infantiles para cantarlas, declamarlas o leerlas en voz alta.","Frecuentemente, poco, nunca",Elige diversas rondas infantiles para cantarlas en voz alta.,Elige diversas rondas infantiles para declamarlas en voz alta.,Elige diversas rondas infantiles para leerlas en voz alta.,,NADA,1
50,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
","Sigue el texto mientras canta, declama o escucha al docente hacerlo.","Frecuentemente, poco, nunca",Sigue el texto mientras canta.,Sigue el texto mientras declama.,Sigue el texto mientras escucha al docente.,,NADA,1
51,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
",Reconoce las semejanzas gráfico–sonoras de palabras que inician o terminan igual.,Lo logra / En ocasiones lo logra / No lo logra,Reconoce la semejanza gráfico-sonoras de palabras que inician igual.,Reconoce la semejanza gráfico-sonoras de palabras que terminan igual.,,,NADA,1
52,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
","Identifica las palabras que pueden ser sustituidas por otras similares que transforman el sentido de la ronda, pero que conservan el ritmo y la rima. Explora tantas opciones como sea posible.",Lo logra / En ocasiones lo logra / No lo logra,Identifica las palabras que pueden ser sustituidas por otras similares que transforman el sentido de la ronda pero conservan su ritmo y la rima.,Explora tantas opciones para buscar palabras para sustituir en las rondas como le sea posible.,,,NADA,1
53,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
",Escribe palabras que tienen sonidos semejantes y compara sus escrituras.,"si, no, muy frecuentemente",Escribe palabras que tiene sonidos semejantes.,Escribe palabras con sonidos semejantes y compara sus escrituras.,,,NADA,1
54,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Creaciones y juegos con lenguaje poético,"Aprende y reinventa rondas infantiles.
","Infiere, con ayuda del profesor, el significado de palabras desconocidas o que llaman su atención.","Frecuentemente, poco, nunca",Infiere el significado de palabras desconocidas.,Infiere el significado de palabras que llaman su atención.,,,NADA,1
55,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,"Lectura, escritura y escenificación de obras teatrales","Lee obras de teatro infantil y participa en juegos dramáticos de su imaginación.
","Explora diversas obras de teatro infantil (para primeros lectores) e identifica algunas de sus características de forma y contenido, como acotaciones y su función, personajes y guiones para marcar diálogos.",Lo logra / En ocasiones lo logra / No lo logra,Explora diversas obras de teatro infantil.,Identifica en las obras de teatro infantiles algunas de sus características de forma.,Identifica en las obras de teatro infantiles algunas de sus características de contenido.,,NADA,1
56,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,"Lectura, escritura y escenificación de obras teatrales","Lee obras de teatro infantil y participa en juegos dramáticos de su imaginación.
",Elige algunas obras para leerlas en voz alta.,"si, no, muy frecuentemente",Elige algunas obras para leerlas en voz alta frente a sus compa~neros.,Elige algunas obras para leerlas en voz alta frente al público.,,,NADA,1
57,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,"Lectura, escritura y escenificación de obras teatrales","Lee obras de teatro infantil y participa en juegos dramáticos de su imaginación.
","Sigue la lectura del profesor en el texto impreso, y relaciona partes de lo oral con partes de las palabras escritas.",Lo logra / En ocasiones lo logra / No lo logra,Sigue la lectura del profesor en el texto impreso.,Relaciona partes de lo oral con partes de las palabras escritas al seguir la lectura del profesor.,,,NADA,1
58,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,"Lectura, escritura y escenificación de obras teatrales","Lee obras de teatro infantil y participa en juegos dramáticos de su imaginación.
",Participa en la planeación y representación de la obra.,"Frecuentemente, poco, nunca",Participa en la planeación de la obra.,Participa en la representación de la obra.,,,NADA,1
59,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Producción e interpretación de textos para realizar trámites y gestionar servicios,"Trabaja con su nombre y el de sus compa~neros. Utiliza sus datos personales para crear una tarjeta de identificación.
",Reconoce la forma escrita de su nombre.,Lo logra / En ocasiones lo logra / No lo logra,Reconoce su nombre escrito.,Reconoce su nombre escrito en diferentes portadores de texto.,,,NADA,1
60,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Producción e interpretación de textos para realizar trámites y gestionar servicios,"Trabaja con su nombre y el de sus compa~neros. Utiliza sus datos personales para crear una tarjeta de identificación.
","Identifica y escribe convencionalmente su nombre propio en diversas actividades, como marcar sus pertenencias.","si, no, muy frecuentemente","Identifica su nombre propio en diferentes actividades, como marcar sus pertenencias.","Escribe su nombre propio en diferentes actividades, como marcar sus pertenencias.",,,NADA,1
61,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Producción e interpretación de textos para realizar trámites y gestionar servicios,"Trabaja con su nombre y el de sus compa~neros. Utiliza sus datos personales para crear una tarjeta de identificación.
",Reconoce la forma escrita de los nombres de sus compa~neros de clase y utiliza ese conocimiento como referencia para identificar y utilizar las letras y formar otras palabras.,Lo logra / En ocasiones lo logra / No lo logra,Reconoce la forma escrita de los nombres de sus compa~neros de clase.,Utiliza este conocimiento como referencia para identificar las letras.,Utiliza este conocimiento como referencia para formar palabras.,Utiliza este conocimiento como referencia para utilizar las letras.,NADA,1
